133,2,2,3,3,189,1,32,1,7,9,30,30,28,28,33,33,28,31,34
2,2,3,1,112,1,3,28,30,30,1,34,3,32,28,28,37,28,28,34
2,1,34,1,1,3,32,31,34,3,18,20,1,1,32,31,1,32,28,29
2,3,1,32,30,30,30,1,3,1,16,3,1,34,32,31,112,1,32,28
2,1,33,31,34,1,1,1,18,15,20,1,3,1,32,31,3,44,2,32
1,35,31,18,20,3,2,1,16,34,1,2,1,129,1,32,28,21,19,34
3,32,31,16,2,2,34,1,116,3,1,1,18,20,1,3,32,1,21,20
34,28,3,21,115,19,1,18,20,1,1,34,20,1,3,34,32,3,1,3
3,31,1,1,3,21,15,20,1,112,1,1,7,8,3,1,32,33,1,36
1,31,112,34,1,2,3,1,34,1,3,32,9,47,1,2,3,32,28,1
1,33,31,3,2,1,192,7,31,3,1,34,1,3,2,1,34,112,32,1
36,1,28,31,1,3,10,9,1,1,112,1,18,15,19,3,1,1,32,3
3,1,3,31,34,3,1,18,34,1,1,18,20,1,21,115,19,3,28,34
18,19,1,31,3,1,18,20,1,1,3,116,1,34,2,2,16,32,31,3
34,21,19,28,31,1,191,1,2,1,34,16,1,2,3,18,20,32,35,1
29,2,189,3,32,31,1,3,1,18,15,20,1,1,1,34,32,33,1,2
28,31,1,112,32,31,34,1,3,16,1,3,1,32,29,29,31,1,3,2
30,28,31,1,32,31,1,1,18,20,3,34,32,31,3,1,1,34,1,2
34,28,28,37,28,28,31,3,34,1,29,29,28,3,1,112,1,3,2,2
34,32,28,33,33,28,28,29,29,7,9,1,31,1,44,3,3,2,2,133
